max_score	lower_diff_matches	cum_lower_diff_matches	rel_cum_lower_matches	total_matches
93	1715	325843340760	0.999999927400701	325843364416
93.5	1910	325843342670	0.999999933262413	325843364416
94	2292	325843344962	0.999999940296467	325843364416
94.5	2063	321993681677	0.999999945989626	321993699068
95	1950	321676816039	0.999999951998408	321676831480
95.5	2466	316572053434	0.999999959014072	316572066409
96	1457	316569464738	0.999999963616202	316569476256
96.5	1745	314483695199	0.999999968923668	314483704972
97	872	308063338954	0.999999971106592	308063347855
97.5	934	308063339888	0.999999974138436	308063347855
98	474	308063340362	0.999999975677081	308063347855
98.5	514	308063340876	0.999999977345569	308063347855
99	465	308063341341	0.999999978854998	308063347855
99.5	424	306644353112	0.99999998013986	306644359202
100	374	306644353486	0.999999981359514	306644359202
100.5	376	306644353862	0.99999998258569	306644359202
101	413	263486403662	0.999999981300743	263486408589
101.5	361	263486404023	0.999999982670833	263486408589
102	358	242033578020	0.999999982613983	242033582228
102.5	396	241385139755	0.99999998420781	241385143567
103	444	240486654774	0.999999985995065	240486658142
103.5	418	240486655192	0.999999987733207	240486658142
104	377	189688986755	0.999999986435691	189688989328
104.5	276	148517538029	0.999999984533813	148517540326
105	319	148517538348	0.999999986681708	148517540326
105.5	193	148517538541	0.999999987981218	148517540326
106	213	140049783022	0.99999998877542	140049784594
106.5	163	140049783185	0.999999989939292	140049784594
107	139	140049783324	0.999999990931796	140049784594
107.5	131	96296810594	0.999999988171986	96296811733
108	101	96296810695	0.999999989220827	96296811733
108.5	87	96296810782	0.999999990124284	96296811733
109	98	86779401148	0.999999990170478	86779402001
109.5	65	86779401213	0.999999990919504	86779402001
110	58	86779401271	0.999999991587866	86779402001
110.5	65	86779401336	0.999999992336891	86779402001
111	66	86779401402	0.99999999309744	86779402001
111.5	27	86779401429	0.999999993408574	86779402001
112	21	85989474678	0.999999993592239	85989475229
112.5	24	85989474702	0.999999993871343	85989475229
113	24	85116602661	0.99999999409046	85116603164
113.5	23	85116602684	0.999999994360677	85116603164
114	14	85116602698	0.999999994525157	85116603164
114.5	23	85116602721	0.999999994795375	85116603164
115	19	85116602740	0.999999995018598	85116603164
115.5	24	85116602764	0.999999995300564	85116603164
116	26	85116602790	0.999999995606028	85116603164
116.5	40	85116602830	0.999999996075971	85116603164
117	30	85116602860	0.999999996428429	85116603164
117.5	36	85116602896	0.999999996851378	85116603164
118	40	85116602936	0.999999997321322	85116603164
118.5	30	85116602966	0.999999997673779	85116603164
119	18	85116602984	0.999999997885254	85116603164
119.5	23	85116603007	0.999999998155471	85116603164
120	27	77143428841	0.999999998314827	77143428971
120.5	18	77143428859	0.999999998548159	77143428971
121	9	77143428868	0.999999998664825	77143428971
121.5	13	77143428881	0.999999998833342	77143428971
122	9	76136371259	0.999999998936119	76136371340
122.5	5	76136371264	0.999999999001791	76136371340
123	2	76136371266	0.99999999902806	76136371340
123.5	9	76136371275	0.999999999146269	76136371340
124	5	76136371280	0.99999999921194	76136371340
124.5	6	76136371286	0.999999999290746	76136371340
125	5	76136371291	0.999999999356418	76136371340
125.5	5	76136371296	0.99999999942209	76136371340
126	2	51794674071	0.999999999189106	51794674113
126.5	4	51794674075	0.999999999266334	51794674113
127	0	51794674075	0.999999999266334	51794674113
127.5	1	51794674076	0.999999999285641	51794674113
128	3	51794674079	0.999999999343562	51794674113
128.5	4	51794674083	0.99999999942079	51794674113
129	1	51794674084	0.999999999440097	51794674113
129.5	5	51794674089	0.999999999536632	51794674113
130	2	50640871889	0.999999999565568	50640871911
130.5	2	50640871891	0.999999999605062	50640871911
131	4	50640871895	0.99999999968405	50640871911
131.5	4	50640871899	0.999999999763037	50640871911
132	3	50640871902	0.999999999822278	50640871911
132.5	1	50366025036	0.999999999841163	50366025044
133	2	50366025038	0.999999999880872	50366025044
133.5	1	50366025039	0.999999999900727	50366025044
134	1	37831492295	0.999999999894268	37831492299
134.5	2	37831492297	0.999999999947134	37831492299
135	0	30769937030	0.999999999935001	30769937032
135.5	1	30769937031	0.999999999967501	30769937032
136	0	30769937031	0.999999999967501	30769937032
136.5	0	30769937031	0.999999999967501	30769937032
137	0	30769937031	0.999999999967501	30769937032
137.5	0	30769937031	0.999999999967501	30769937032
138	0	30769937031	0.999999999967501	30769937032
138.5	0	30769937031	0.999999999967501	30769937032
139	1	30769937032	1	30769937032
